year,home,away,home_score,away_score,model,p_home_win,p_draw,p_away_win,brier,log_loss,correct
2010,France,Mexico,0,2,elo,0.2997,0.2539,0.4464,0.46075,0.80653,1
2010,France,Mexico,0,2,form,0.2673,0.2386,0.4941,0.38425,0.70493,1
2010,France,Mexico,0,2,tournament,0.3677,0.2812,0.3511,0.6354,1.04675,0
2010,France,Mexico,0,2,combined_default,0.3053,0.2554,0.4393,0.47286,0.82262,1
2010,France,Mexico,0,2,combined_optimized,0.2821,0.2448,0.4731,0.41713,0.74845,1
2010,Greece,Nigeria,2,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Greece,Nigeria,2,1,elo,0.2988,0.2535,0.4477,0.75646,1.2081,0
2010,Greece,Nigeria,2,1,form,0.2871,0.2479,0.465,0.78591,1.2479,0
2010,Greece,Nigeria,2,1,tournament,0.1687,0.194,0.6373,1.13484,1.77955,0
2010,Greece,Nigeria,2,1,combined_default,0.2622,0.2366,0.5012,0.85158,1.33876,0
2010,Greece,Nigeria,2,1,combined_optimized,0.2697,0.2399,0.4904,0.83139,1.31048,0
2010,England,Algeria,0,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,England,Algeria,0,0,elo,0.7091,0.1706,0.1204,1.20527,1.76872,0
2010,England,Algeria,0,0,form,0.7661,0.1501,0.0837,1.31625,1.89622,0
2010,England,Algeria,0,0,tournament,0.7601,0.1524,0.0875,1.30373,1.88109,0
2010,England,Algeria,0,0,combined_default,0.7418,0.1589,0.0993,1.26762,1.83965,0
2010,England,Algeria,0,0,combined_optimized,0.7652,0.1505,0.0843,1.3144,1.89398,0
2010,Germany,Serbia,0,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Germany,Serbia,0,1,elo,0.5214,0.23,0.2486,0.88943,1.392,0
2010,Germany,Serbia,0,1,form,0.5196,0.2306,0.2498,0.88587,1.38691,0
2010,Germany,Serbia,0,1,tournament,0.6502,0.1899,0.1599,1.16461,1.83319,0
2010,Germany,Serbia,0,1,combined_default,0.553,0.2202,0.2269,0.95203,1.48345,0
2010,Germany,Serbia,0,1,combined_optimized,0.5388,0.2246,0.2366,0.92351,1.44131,0
2010,Slovenia,United States,2,2,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Slovenia,United States,2,2,elo,0.2259,0.2198,0.5543,0.96708,1.51519,0
2010,Slovenia,United States,2,2,form,0.2366,0.2246,0.5388,0.94757,1.49352,0
2010,Slovenia,United States,2,2,tournament,0.1668,0.1931,0.6401,1.08868,1.64463,0
2010,Slovenia,United States,2,2,combined_default,0.2149,0.2148,0.5703,0.98803,1.53814,0
2010,Slovenia,United States,2,2,combined_optimized,0.2263,0.2199,0.5537,0.9663,1.51436,0
2010,Cameroon,Denmark,1,2,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Cameroon,Denmark,1,2,elo,0.4637,0.2483,0.288,0.78368,1.24488,0
2010,Cameroon,Denmark,1,2,form,0.4637,0.2483,0.288,0.78368,1.24488,0
2010,Cameroon,Denmark,1,2,tournament,0.3776,0.2776,0.3448,0.64896,1.06483,0
2010,Cameroon,Denmark,1,2,combined_default,0.4422,0.2556,0.3022,0.74784,1.19674,0
2010,Cameroon,Denmark,1,2,combined_optimized,0.4511,0.2526,0.2963,0.76242,1.21627,0
2010,Ghana,Australia,1,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Ghana,Australia,1,1,elo,0.2509,0.231,0.518,0.92261,1.46515,0
2010,Ghana,Australia,1,1,form,0.23,0.2216,0.5484,0.9595,1.50681,0
2010,Ghana,Australia,1,1,tournament,0.2954,0.2519,0.4527,0.85191,1.37884,0
2010,Ghana,Australia,1,1,combined_default,0.2547,0.233,0.5123,0.91572,1.45693,0
2010,Ghana,Australia,1,1,combined_optimized,0.2396,0.2261,0.5343,0.94188,1.48693,0
2010,Netherlands,Japan,1,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Netherlands,Japan,1,0,elo,0.6383,0.1937,0.1681,0.19661,0.44901,1
2010,Netherlands,Japan,1,0,form,0.6912,0.1766,0.1322,0.14402,0.36932,1
2010,Netherlands,Japan,1,0,tournament,0.7173,0.1677,0.115,0.12128,0.33227,1
2010,Netherlands,Japan,1,0,combined_default,0.6765,0.1812,0.1423,0.15769,0.39075,1
2010,Netherlands,Japan,1,0,combined_optimized,0.695,0.1753,0.1297,0.14054,0.36378,1
2010,Brazil,Ivory Coast,3,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Brazil,Ivory Coast,3,1,elo,0.6341,0.195,0.1709,0.2011,0.45553,1
2010,Brazil,Ivory Coast,3,1,form,0.6889,0.1773,0.1337,0.14608,0.37259,1
2010,Brazil,Ivory Coast,3,1,tournament,0.7461,0.1576,0.0964,0.09859,0.29293,1
2010,Brazil,Ivory Coast,3,1,combined_default,0.6813,0.1794,0.1393,0.15317,0.38376,1
2010,Brazil,Ivory Coast,3,1,combined_optimized,0.6973,0.1744,0.1282,0.13846,0.36047,1
2010,Italy,New Zealand,1,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Italy,New Zealand,1,1,elo,0.6943,0.1755,0.1302,1.17878,1.73999,0
2010,Italy,New Zealand,1,1,form,0.7101,0.1702,0.1197,1.20719,1.77082,0
2010,Italy,New Zealand,1,1,tournament,0.8425,0.1178,0.0398,1.48968,2.13916,0
2010,Italy,New Zealand,1,1,combined_default,0.7369,0.1592,0.1039,1.26072,1.8375,0
2010,Italy,New Zealand,1,1,combined_optimized,0.7296,0.1625,0.1079,1.2454,1.8172,0
2010,Slovakia,Paraguay,0,2,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Slovakia,Paraguay,0,2,elo,0.2751,0.2422,0.4827,0.40196,0.72838,1
2010,Slovakia,Paraguay,0,2,form,0.301,0.2546,0.4444,0.46417,0.8111,1
2010,Slovakia,Paraguay,0,2,tournament,0.2819,0.2454,0.4727,0.41772,0.74928,1
2010,Slovakia,Paraguay,0,2,combined_default,0.2859,0.2473,0.4668,0.42723,0.76189,1
2010,Slovakia,Paraguay,0,2,combined_optimized,0.2982,0.2533,0.4485,0.45718,0.80176,1
2010,Chile,Switzerland,1,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Chile,Switzerland,1,0,elo,0.5176,0.2312,0.2512,0.3493,0.6586,1
2010,Chile,Switzerland,1,0,form,0.5609,0.2177,0.2213,0.28916,0.57813,1
2010,Chile,Switzerland,1,0,tournament,0.5221,0.2298,0.2481,0.34273,0.64986,1
2010,Chile,Switzerland,1,0,combined_default,0.5339,0.2261,0.24,0.32598,0.62756,1
2010,Chile,Switzerland,1,0,combined_optimized,0.5552,0.2195,0.2253,0.29674,0.58836,1
2010,Portugal,North Korea,7,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Portugal,North Korea,7,0,elo,0.5973,0.2065,0.1962,0.24327,0.51529,1
2010,Portugal,North Korea,7,0,form,0.647,0.1909,0.1621,0.18738,0.43548,1
2010,Portugal,North Korea,7,0,tournament,0.6837,0.179,0.1373,0.15094,0.38024,1
2010,Portugal,North Korea,7,0,combined_default,0.6363,0.1942,0.1695,0.19873,0.4521,1
2010,Portugal,North Korea,7,0,combined_optimized,0.6524,0.1892,0.1585,0.18175,0.42716,1
2010,Spain,Honduras,2,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Spain,Honduras,2,0,elo,0.6863,0.1782,0.1355,0.14853,0.37645,1
2010,Spain,Honduras,2,0,form,0.7679,0.1495,0.0826,0.08302,0.26406,1
2010,Spain,Honduras,2,0,tournament,0.7416,0.1592,0.0992,0.10193,0.2989,1
2010,Spain,Honduras,2,0,combined_default,0.7287,0.1634,0.1079,0.11194,0.31649,1
2010,Spain,Honduras,2,0,combined_optimized,0.7641,0.1509,0.0851,0.08567,0.26911,1
2010,Greece,Argentina,0,2,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Greece,Argentina,0,2,elo,0.2931,0.2507,0.4562,0.44446,0.78481,1
2010,Greece,Argentina,0,2,form,0.2476,0.2295,0.5229,0.34161,0.64838,1
2010,Greece,Argentina,0,2,tournament,0.1267,0.1738,0.6995,0.13659,0.35744,1
2010,Greece,Argentina,0,2,combined_default,0.2356,0.2241,0.5404,0.31697,0.61552,1
2010,Greece,Argentina,0,2,combined_optimized,0.2298,0.2213,0.5489,0.30532,0.5999,1
2010,Mexico,Uruguay,0,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Mexico,Uruguay,0,1,elo,0.517,0.2314,0.2516,0.88096,1.37991,0
2010,Mexico,Uruguay,0,1,form,0.5744,0.2136,0.212,0.99644,1.55102,0
2010,Mexico,Uruguay,0,1,tournament,0.4547,0.2512,0.2941,0.76814,1.22384,0
2010,Mexico,Uruguay,0,1,combined_default,0.5215,0.2301,0.2484,0.88987,1.39281,0
2010,Mexico,Uruguay,0,1,combined_optimized,0.5568,0.2191,0.2241,0.96004,1.49565,0
2010,Nigeria,South Korea,2,2,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Nigeria,South Korea,2,2,elo,0.3485,0.2797,0.3718,0.77852,1.27404,0
2010,Nigeria,South Korea,2,2,form,0.3265,0.2676,0.4058,0.80773,1.31821,0
2010,Nigeria,South Korea,2,2,tournament,0.4033,0.2685,0.3282,0.80548,1.31493,0
2010,Nigeria,South Korea,2,2,combined_default,0.3545,0.2727,0.3728,0.79369,1.2995,0
2010,Nigeria,South Korea,2,2,combined_optimized,0.3378,0.2677,0.3944,0.8059,1.31772,0
2010,South Africa,France,2,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,South Africa,France,2,1,elo,0.2264,0.22,0.5537,0.95343,1.4856,0
2010,South Africa,France,2,1,form,0.2166,0.2156,0.5677,0.98249,1.52954,0
2010,South Africa,France,2,1,tournament,0.1783,0.1984,0.6233,1.10297,1.72409,0
2010,South Africa,France,2,1,combined_default,0.211,0.2131,0.576,0.99975,1.55612,0
2010,South Africa,France,2,1,combined_optimized,0.211,0.2131,0.5759,0.9996,1.55589,0
